n_sim,top_down,n_env,cor
1,True,1,0.8648532605982338
1,True,2,0.6635089741556175
1,True,3,0.4691847163997491
1,True,4,0.25797844505508855
1,True,5,0.1312665941932218
1,True,6,0.19924055983982833
1,True,7,0.11730794305912645
1,True,8,0.1095884644345084
1,True,9,0.15724868559863683
1,True,10,0.09976460694715106
1,True,11,0.058423984784600466
1,True,12,-0.01914758762851338
1,True,13,0.04085091407750018
1,True,14,0.1703723803011747
1,True,15,0.2100346204404382
1,True,16,0.12261966230971783
1,True,17,0.1164096741392252
1,True,18,0.1913440977003853
1,True,19,0.1363081371322005
1,True,20,0.12045525295557007
1,True,21,0.0949730806345351
1,False,1,0.8855638058749628
1,False,2,0.3849964909851552
1,False,3,0.32183959771357507
1,False,4,0.29019908226903385
1,False,5,0.4463683575247077
1,False,6,0.2947068389147878
1,False,7,0.36876756187942944
1,False,8,0.4614868581511468
1,False,9,0.30770535806362
1,False,10,0.4140503544038262
1,False,11,0.32016336608851875
1,False,12,-0.007141079950043332
1,False,13,0.25883992965031927
1,False,14,0.12268428696182351
1,False,15,0.3936124824663547
1,False,16,0.29735344643916667
1,False,17,0.38015279440195554
1,False,18,0.33885399573587915
1,False,19,0.28720869284877315
1,False,20,0.1730626104494734
1,False,21,0.3140164006164738
2,True,1,0.7896228155434479
2,True,2,0.7288852231196704
2,True,3,0.37459823267000175
2,True,4,0.23230353156536837
2,True,5,0.14373068848460693
2,True,6,0.18143716216889952
2,True,7,0.17202364085900934
2,True,8,0.08487184840150999
2,True,9,0.13027603051856906
2,True,10,0.20468983410450697
2,True,11,0.22641611203589349
2,True,12,0.18269023299272827
2,True,13,0.05006404366178449
2,True,14,0.20019570005951717
2,True,15,0.1613185147745109
2,True,16,0.11500386611210377
2,True,17,0.11557009023663614
2,True,18,0.1852195452856386
2,True,19,0.09209115717776864
2,True,20,0.12593940241660442
2,True,21,0.0710004090211123
2,False,1,0.8910769142905862
2,False,2,0.5086817962897521
2,False,3,0.44735596604257616
2,False,4,0.3486071677060339
2,False,5,0.27928043296008503
2,False,6,0.49439675464251465
2,False,7,0.3601065584209347
2,False,8,0.4458624048247673
2,False,9,0.3224730102361001
2,False,10,0.5245397437629502
2,False,11,0.4747539979333174
2,False,12,0.397975886501359
2,False,13,0.464858543249059
2,False,14,0.2960256162715283
2,False,15,0.5076304241520934
2,False,16,0.35836457045095216
2,False,17,0.306670072300134
2,False,18,0.29486171438797676
2,False,19,0.4115479821904141
2,False,20,0.40768831357837276
2,False,21,0.40165189769611565
3,True,1,0.9238935631733282
3,True,2,0.5166806865187955
3,True,3,0.3280727375631355
3,True,4,0.29051082391722094
3,True,5,0.17644338553788988
3,True,6,0.13599379337597317
3,True,7,0.06479228744375666
3,True,8,0.16651792348252242
3,True,9,0.18680891433706953
3,True,10,0.09779285084990509
3,True,11,0.03333211272121849
3,True,12,0.0939062928878343
3,True,13,0.24248074782962412
3,True,14,0.2419645508378301
3,True,15,0.17073077881583598
3,True,16,0.060472543942522446
3,True,17,0.02712454707620594
3,True,18,0.14875201188136994
3,True,19,0.03409788975146666
3,True,20,-0.0021256359769906206
3,True,21,0.019401249390973967
3,False,1,0.878174644403318
3,False,2,0.32984201710749744
3,False,3,0.4165869005718642
3,False,4,0.46319586631025045
3,False,5,0.351472018453485
3,False,6,0.33616122159323775
3,False,7,0.35291382885139183
3,False,8,0.3180481881390183
3,False,9,0.5213008971768772
3,False,10,0.3701906940897179
3,False,11,0.2605739333663578
3,False,12,0.43072267640002293
3,False,13,0.39799127499439174
3,False,14,0.31501364101723406
3,False,15,0.3298031209416697
3,False,16,0.22711155629051866
3,False,17,0.2939764330211444
3,False,18,0.25318364632490353
3,False,19,0.397762889261722
3,False,20,0.35286592274060724
3,False,21,0.4326562435811152
4,True,1,0.8346102315954884
4,True,2,0.6145977899133986
4,True,3,0.44442364281117563
4,True,4,0.26624349764541294
4,True,5,0.1323245589844928
4,True,6,0.18396615996950616
4,True,7,0.19692639256212843
4,True,8,0.15234445427922205
4,True,9,0.17896010569590068
4,True,10,0.08310592007685694
4,True,11,0.076782982356179
4,True,12,0.12243057089648766
4,True,13,0.16134353620677558
4,True,14,0.09552549301741044
4,True,15,0.18893878786874013
4,True,16,0.18746768097578698
4,True,17,0.11754495644927258
4,True,18,0.16135673812043363
4,True,19,0.14966723889305494
4,True,20,0.11803506603548644
4,True,21,0.08625556495572209
4,False,1,0.8915844849060645
4,False,2,0.4082678971190451
4,False,3,0.4554087956588808
4,False,4,0.3649455240036651
4,False,5,0.34154891773585816
4,False,6,0.2406121059240467
4,False,7,0.39369483574488484
4,False,8,0.3575424355083451
4,False,9,0.3704513585152708
4,False,10,0.3989555723653953
4,False,11,0.38732678660055236
4,False,12,0.4591907245679056
4,False,13,0.29164211571328225
4,False,14,0.28349642148557097
4,False,15,0.2944072189439941
