n_sim,top_down,n_env,cor
1,True,1,0.8964340649920546
1,True,2,0.7880014454485454
1,True,3,0.6534652221302967
1,True,4,0.6214266150841621
1,True,5,0.567034409095718
1,True,6,0.6909654771301996
1,True,7,0.7074280098802151
1,True,8,0.6732898332709607
1,True,9,0.709073180497938
1,True,10,0.6500767601564525
1,True,11,0.7417115678024062
1,True,12,0.7245722646602366
1,True,13,0.6760287158546654
1,True,14,0.6463042805792096
1,True,15,0.6978690923035064
1,True,16,0.7475330868613337
1,True,17,0.5725540562789443
1,True,18,0.669085117966327
1,True,19,0.6953160749638837
1,True,20,0.6290665165806187
1,True,21,0.7382264126377165
1,False,1,0.8554707437923017
1,False,2,0.6204818615503224
1,False,3,0.622354515390182
1,False,4,0.7342773363745297
1,False,5,0.5432379867260275
1,False,6,0.6658847896098301
1,False,7,0.5381310216410893
1,False,8,0.7062292938936743
1,False,9,0.43909144389195376
1,False,10,0.8361571790204354
1,False,11,0.8272806548726558
1,False,12,0.7852237340055009
1,False,13,0.8140912993911988
1,False,14,0.6662235212561264
1,False,15,0.6645355097564402
1,False,16,0.7054011181822287
1,False,17,0.7963726593637988
1,False,18,0.8211366899110546
1,False,19,0.8190149029090651
1,False,20,0.7527164742043055
1,False,21,0.7643551361691041
2,True,1,0.9587625790904168
2,True,2,0.7835789194701342
2,True,3,0.7834617801258363
2,True,4,0.7444772265399524
2,True,5,0.6676408201476667
2,True,6,0.7009022532065409
2,True,7,0.691804713434177
2,True,8,0.6636247749899326
2,True,9,0.7952011448282583
2,True,10,0.697472645465938
2,True,11,0.7528181474624484
2,True,12,0.7161954336230347
2,True,13,0.7254438040736989
2,True,14,0.7272282434670149
2,True,15,0.7262292537545935
2,True,16,0.6882440263546056
2,True,17,0.759351024358352
2,True,18,0.728107090490091
2,True,19,0.7027178459263547
2,True,20,0.5881108889849805
2,True,21,0.7546415102755815
2,False,1,0.8799808597510145
2,False,2,0.606702030403665
2,False,3,0.613150764342552
2,False,4,0.5526085538464227
2,False,5,0.7216718798339999
2,False,6,0.5911366947438846
2,False,7,0.6939204292855856
2,False,8,0.6245883980163882
2,False,9,0.6580738830762346
2,False,10,0.8363124021845778
2,False,11,0.5479463138299168
2,False,12,0.820585872599429
2,False,13,0.7751849505272537
2,False,14,0.7070056463114989
2,False,15,0.7683168495432854
2,False,16,0.7782419752721976
2,False,17,0.7579520085894589
2,False,18,0.3881162480210314
2,False,19,0.7653182727443092
2,False,20,0.7944040807265376
2,False,21,0.7719278497113158
3,True,1,0.7713906037027013
3,True,2,0.7453836803422541
3,True,3,0.5612037303278903
3,True,4,0.7093948423930775
3,True,5,0.7977139817294066
3,True,6,0.7022821465841415
3,True,7,0.5715569186009923
3,True,8,0.7683144753958117
3,True,9,0.8036150282758059
3,True,10,0.733973678713138
3,True,11,0.7045652244078017
3,True,12,0.6923038037511015
3,True,13,0.7234916074714175
3,True,14,0.725769922789653
3,True,15,0.6479481531001153
3,True,16,0.6246345341631201
3,True,17,0.778200431894428
3,True,18,0.7050300739216646
3,True,19,0.7393658927830984
3,True,20,0.7957055331586693
3,True,21,0.7063682126762799
3,False,1,0.8687478290150361
3,False,2,0.7083721556980026
3,False,3,0.8690408324030401
3,False,4,0.793717042668074
3,False,5,0.7519125463776055
3,False,6,0.674511360155935
3,False,7,0.6883592070268736
3,False,8,0.7620821522327685
3,False,9,0.7180425904566786
3,False,10,0.819867983651299
3,False,11,0.808776807919348
3,False,12,0.5881183985326094
3,False,13,0.8109026781566228
3,False,14,0.7880355974716298
3,False,15,0.6916649842719458
3,False,16,0.6680108036179655
3,False,17,0.8296917335812138
3,False,18,0.7565247690273529
3,False,19,0.6966886259573326
