n_sim,top_down,n_env,cor
1,True,1,nan
1,True,2,0.8361769909497343
1,True,3,0.762449737101183
1,True,4,0.7771627447126165
1,True,5,0.7958236667726166
1,True,6,0.7929526140115332
1,True,7,0.7890198128885902
1,True,8,0.7895210367736454
1,True,9,0.7644336401554754
1,True,10,0.7723299550632273
1,True,11,0.7796004123803276
1,True,12,0.8088212587904541
1,True,13,0.7159123890022415
1,True,14,0.7343274813607833
1,True,15,0.789883006155462
1,True,16,0.8639353261307292
1,True,17,0.7641786838370841
1,True,18,0.7527397282589483
1,True,19,0.7886169911904807
1,True,20,0.7523411328364423
1,True,21,0.7690645359738943
1,False,1,nan
1,False,2,0.4910924292731882
1,False,3,0.3701993144445124
1,False,4,0.3174114299640422
1,False,5,0.6277728359223566
1,False,6,0.4924403175586284
1,False,7,0.29060165692010437
1,False,8,0.5653145692257987
1,False,9,0.3805682993670495
1,False,10,0.6749468737265355
1,False,11,0.44016508109673935
1,False,12,0.4563241161668282
1,False,13,0.3881585356648962
1,False,14,0.410698341126127
1,False,15,0.3258887154241425
1,False,16,0.5782461108513366
1,False,17,0.35338125975028956
1,False,18,0.21021775546348698
1,False,19,0.3427148506200476
1,False,20,0.38060136652358156
1,False,21,0.37923306814753766
2,True,1,nan
2,True,2,0.8220845721549036
2,True,3,0.8398385846885208
2,True,4,0.7913937378276843
2,True,5,0.7476133572246418
2,True,6,0.7557462491397233
2,True,7,0.7728719619817276
2,True,8,0.8007355253446091
2,True,9,0.7866598290373243
2,True,10,0.7944899326558573
2,True,11,0.8079446326544825
2,True,12,0.7600226502585374
2,True,13,0.7680572394679056
2,True,14,0.7801478967383878
2,True,15,0.7485150111094103
2,True,16,0.7453919916151676
2,True,17,0.7772811776185008
2,True,18,0.7881501215565595
2,True,19,0.7599425039417396
2,True,20,0.793276956321137
2,True,21,0.793132875327614
2,False,1,nan
2,False,2,0.3104073278212449
2,False,3,0.32744909737740585
2,False,4,0.26743816975112333
2,False,5,0.5620185828360107
2,False,6,0.535385067872592
2,False,7,0.48682686973571065
2,False,8,0.40452695349053047
2,False,9,0.399229632706507
2,False,10,0.39792952198484777
2,False,11,0.6059792431309838
2,False,12,0.4869111311195941
2,False,13,0.3457431202588345
2,False,14,0.5017907278327068
2,False,15,0.35654374414764506
2,False,16,0.3615777380956783
2,False,17,0.5051376007693608
2,False,18,0.6075202659686211
2,False,19,0.6075996820270535
2,False,20,0.5031684122809149
2,False,21,0.44909228068647655
3,True,1,nan
3,True,2,0.7823183424951509
3,True,3,0.7390918854786093
3,True,4,0.7949848253528864
3,True,5,0.8123844643896927
3,True,6,0.8281087179580026
3,True,7,0.8118264537800873
3,True,8,0.7911829410182656
3,True,9,0.7694776991786915
3,True,10,0.8021571860016847
3,True,11,0.7662102950571756
3,True,12,0.6991911019790926
3,True,13,0.7371651323999994
3,True,14,0.7264719428178714
3,True,15,0.7788844614169301
3,True,16,0.7916824691575093
3,True,17,0.7823793728807402
3,True,18,0.806280896312427
3,True,19,0.7653614015012847
3,True,20,0.719710690971428
3,True,21,0.7885370025210877
3,False,1,nan
3,False,2,0.3718812633573788
3,False,3,0.5155790342435227
3,False,4,0.20534880341422795
3,False,5,0.4641190128096154
3,False,6,0.4177777278223627
3,False,7,0.4022087312215768
3,False,8,0.5194894823459802
3,False,9,0.6018134161255746
3,False,10,0.5180625042993452
3,False,11,0.5408648237717103
3,False,12,0.29091698264209176
3,False,13,0.4787257281857388
3,False,14,0.37938449807449237
3,False,15,0.49747432567665356
3,False,16,0.5348144202254982
3,False,17,0.25695588999694946
3,False,18,0.3390558598578706
3,False,19,0.3817324538870301
3,False,20,0.2228417355943712
3,False,21,0.5509140712169878
4,True,1,nan
4,True,2,0.8504943255861027
4,True,3,0.8140071071357476
4,True,4,0.7386224722557704
4,True,5,0.8141386400894014
4,True,6,0.7906921865086847
4,True,7,0.8041964539807258
4,True,8,0.8023955799330906
4,True,9,0.7486180918822256
4,True,10,0.7751255001059623
4,True,11,0.8007829484362398
4,True,12,0.7946992489458041
4,True,13,0.7318046289329584
4,True,14,0.7406987463473275
