n_sim,top_down,n_env,cor
1,True,1,nan
1,True,2,0.4287615737524348
1,True,3,0.4513202403029938
1,True,4,0.4177094239439803
1,True,5,0.43254498642582845
1,True,6,0.44410882604901175
1,True,7,0.40620947839946603
1,True,8,0.4419237499302787
1,True,9,0.4437179184489928
1,True,10,0.4182798032924299
1,True,11,0.44430544187596827
1,True,12,0.40256239058198423
1,True,13,0.41297016866081443
1,True,14,0.3554960750548573
1,True,15,0.416438097603899
1,True,16,0.40290649945398677
1,True,17,0.41817923778917804
1,True,18,0.3868076371809165
1,True,19,0.4115447871658012
1,True,20,0.42181291212458194
1,True,21,0.4246428712184501
1,False,1,nan
1,False,2,0.4169091666049881
1,False,3,0.529813822313398
1,False,4,0.2328103756812698
1,False,5,0.5776590293699673
1,False,6,0.3172337949110006
1,False,7,0.5647537216991185
1,False,8,0.2341857587452401
1,False,9,0.4234156309558611
1,False,10,0.2555820625545849
1,False,11,0.6116974790645717
1,False,12,0.3626266357468143
1,False,13,0.6402545412387881
1,False,14,0.4182576697099926
1,False,15,0.30305462506817066
1,False,16,0.5120927870188029
1,False,17,0.5362214428087098
1,False,18,0.34684363472646385
1,False,19,0.6170660506533069
1,False,20,0.4393717734583554
1,False,21,0.28634411802568394
2,True,1,nan
2,True,2,0.4562327008339677
2,True,3,0.4023252090675212
2,True,4,0.42048990626736343
2,True,5,0.4452960773300684
2,True,6,0.38501347306094375
2,True,7,0.42449949325158187
2,True,8,0.42268356691733816
2,True,9,0.4087725798204801
2,True,10,0.425652471141834
2,True,11,0.3730125516271687
2,True,12,0.3710067039036343
