n_sim,top_down,n_env,cor
1,True,1,nan
1,True,2,0.5330856973998099
1,True,3,0.5484809781922956
1,True,4,0.5993122037460884
1,True,5,0.4986845144219208
1,True,6,0.5940200600915887
1,True,7,0.5460546897421292
1,True,8,0.5509743932297503
1,True,9,0.5470468387406067
1,True,10,0.5469440348284271
1,True,11,0.570393853225321
1,True,12,0.5608590838372035
1,True,13,0.5539323812529225
1,True,14,0.5802615104620685
1,True,15,0.5733758627166533
1,True,16,0.5647060276237226
1,True,17,0.5116467995374538
1,True,18,0.5344819931400993
1,True,19,0.5720512635747805
1,True,20,0.5685189432101064
1,True,21,0.5592213070574292
1,False,1,nan
1,False,2,0.44180654103185146
1,False,3,0.4790269606830532
1,False,4,0.23406900456520705
1,False,5,0.4176969364301042
1,False,6,0.42104808292701995
1,False,7,0.48913013080530415
1,False,8,0.44591337936131953
1,False,9,0.47566279811163303
1,False,10,0.4715808381401583
1,False,11,0.6000663236870564
1,False,12,0.23105457192726653
1,False,13,0.5887630074123953
1,False,14,0.3189358043805594
1,False,15,0.3326035888721553
1,False,16,0.5281136007488925
1,False,17,0.4797818653138311
1,False,18,0.28729951235674295
1,False,19,0.15806922347352972
1,False,20,0.6613379329408458
1,False,21,0.4631619914789644
2,True,1,nan
2,True,2,0.5424174226868362
2,True,3,0.5248787146363181
2,True,4,0.5529364066594635
2,True,5,0.4921016105015009
2,True,6,0.5874761364469607
2,True,7,0.5451935133981065
2,True,8,0.5802967028760178
2,True,9,0.557081095802617
2,True,10,0.530339920694522
2,True,11,0.5538958534708864
2,True,12,0.5322845496713876
2,True,13,0.5707044062994213
2,True,14,0.5385986331475949
2,True,15,0.5825587217905969
2,True,16,0.5625585289300409
2,True,17,0.5389885353782292
2,True,18,0.5659017607785605
2,True,19,0.5361805106800742
2,True,20,0.5543168199968221
2,True,21,0.5787558612570077
2,False,1,nan
2,False,2,0.4917787212008323
2,False,3,0.24949071746209223
2,False,4,0.47410128131688656
2,False,5,0.49086989572058426
2,False,6,0.5576675066291333
2,False,7,0.47917888873073494
2,False,8,0.4237440727821704
2,False,9,0.5911905685531338
2,False,10,0.3179419302559819
2,False,11,0.6892711156700654
2,False,12,0.43264731891937785
2,False,13,0.4442625206998947
2,False,14,0.6059392438190463
2,False,15,0.5064059824400212
2,False,16,0.2921302367776284
2,False,17,0.4608731862015392
2,False,18,0.15138313499623066
2,False,19,0.5555635606430955
2,False,20,0.4474129151928775
2,False,21,0.48643594001259804
3,True,1,nan
3,True,2,0.5498319961246144
3,True,3,0.5582579936993972
3,True,4,0.5446932968410348
3,True,5,0.5647903595950559
3,True,6,0.5482098967142719
3,True,7,0.5353144409010225
3,True,8,0.5373598295520832
3,True,9,0.5725536993834554
3,True,10,0.5462810524725454
3,True,11,0.565880476163446
3,True,12,0.5507448579096188
3,True,13,0.5296903164971832
3,True,14,0.5494518395938494
3,True,15,0.5117748640235236
3,True,16,0.5219299006387225
3,True,17,0.5149137762435584
3,True,18,0.5515744426874749
3,True,19,0.5440987416520126
3,True,20,0.5392882259143826
3,True,21,0.5814351017392865
3,False,1,nan
3,False,2,0.2966154917803562
3,False,3,0.24333545928298927
3,False,4,0.2905502605271261
3,False,5,0.5069198083622384
3,False,6,0.45868908165034744
3,False,7,0.24881913184650203
3,False,8,0.48935401706310505
3,False,9,0.428551009225125
3,False,10,0.40600139573402055
3,False,11,0.5056436784021318
3,False,12,0.5650429639310994
3,False,13,0.3648068023113979
3,False,14,0.46805825195591916
3,False,15,0.5574464025077362
3,False,16,0.5600313261002947
3,False,17,0.43670850011970874
3,False,18,0.27781492691792187
3,False,19,0.5261916289213766
3,False,20,0.5670406112459855
3,False,21,0.6488418107408954
4,True,1,nan
4,True,2,0.5442727139246267
4,True,3,0.5225682283943162
4,True,4,0.5355408001982389
4,True,5,0.5119772844865199
4,True,6,0.5096087570213645
4,True,7,0.5801158515193533
4,True,8,0.5380966216644092
4,True,9,0.5201957113440427
4,True,10,0.58482787875792
4,True,11,0.5093048473537658
4,True,12,0.5481285176800919
4,True,13,0.5393075937830483
4,True,14,0.5567655499652678
4,True,15,0.583003030214042
4,True,16,0.5641046306170844
4,True,17,0.5510584301011051
4,True,18,0.535221643773213
4,True,19,0.5640146611867376
4,True,20,0.6026153803761369
4,True,21,0.5418152393467717
4,False,1,nan
4,False,2,0.4887766625379324
4,False,3,0.26166803099837455
4,False,4,0.5965920908019281
4,False,5,0.5529810085630884
4,False,6,0.44963771784605144
4,False,7,0.31677196942386854
4,False,8,0.48017534385912464
4,False,9,0.5511396327100642
4,False,10,0.4473590076232844
4,False,11,0.15795453216305327
4,False,12,0.31768661008031285
4,False,13,0.44947127772579354
4,False,14,0.5285754530932925
4,False,15,0.473116572785947
4,False,16,0.33834620913801766
4,False,17,0.3986323566855423
4,False,18,0.4740451636687951
4,False,19,0.695386741767261
4,False,20,0.625780476724151
4,False,21,0.6380086557963446
5,True,1,nan
5,True,2,0.5642398598581232
5,True,3,0.5256543905441193
5,True,4,0.5404820190707813
5,True,5,0.5516459589764425
5,True,6,0.5401492765857147
5,True,7,0.5369444770649922
5,True,8,0.5606713722935402
5,True,9,0.5005333711529493
5,True,10,0.5594645562451013
5,True,11,0.5516286850133655
5,True,12,0.5437122629509192
5,True,13,0.5369034645323648
5,True,14,0.5221822355971796
5,True,15,0.5531556730171253
5,True,16,0.5747601525302418
5,True,17,0.5816217362224193
5,True,18,0.5599424769132206
5,True,19,0.5409596895448942
5,True,20,0.5305210559166429
5,True,21,0.5499370123289082
5,False,1,nan
5,False,2,0.4419685360832164
5,False,3,0.5075918800924751
5,False,4,0.48053767134431
5,False,5,0.46207187634555114
5,False,6,0.39027187412353825
5,False,7,0.3795667963645821
5,False,8,0.10531479917869882
5,False,9,0.4293686693200626
5,False,10,0.5285176513013402
5,False,11,0.23877744159897407
5,False,12,0.506718285933434
5,False,13,0.3409947896910849
5,False,14,0.4044770174156794
5,False,15,0.440663649874779
5,False,16,0.38241945372856395
5,False,17,0.470616179583084
5,False,18,0.5213518798243431
5,False,19,0.5333248836340344
5,False,20,0.44313935752182215
5,False,21,0.42101223088722334
6,True,1,nan
6,True,2,0.5538207517820992
6,True,3,0.5644405088456144
6,True,4,0.5883448406368841
6,True,5,0.5446671880679543
6,True,6,0.5276908921297484
6,True,7,0.5765113667211035
6,True,8,0.579282448953577
6,True,9,0.578529142595324
6,True,10,0.5248776792882467
6,True,11,0.523173239528757
6,True,12,0.5744479386990418
6,True,13,0.5847653420756546
6,True,14,0.5638542222790524
6,True,15,0.5402556574908192
6,True,16,0.5652699696503743
6,True,17,0.5572757208998136
6,True,18,0.5261832576138076
6,True,19,0.569886798621011
6,True,20,0.5654696044593762
6,True,21,0.5330872988646521
6,False,1,nan
6,False,2,0.5986039785924882
6,False,3,0.3052027838966299
6,False,4,0.35927924452721544
6,False,5,0.2642706326119727
6,False,6,0.5734427847453897
6,False,7,0.2993326752265554
6,False,8,0.5281201373053672
6,False,9,0.5227605056648446
6,False,10,0.23209661843511606
6,False,11,0.3011337294352187
6,False,12,0.6176702161333681
6,False,13,0.4087774637052679
6,False,14,0.5635830748677904
6,False,15,0.6586522217063899
6,False,16,0.6656551281043089
6,False,17,0.2539423808413507
6,False,18,0.29916266322583807
6,False,19,0.5563341026256969
6,False,20,0.35409541086451357
6,False,21,0.22898119495505337
7,True,1,nan
7,True,2,0.5457656311389066
7,True,3,0.4785924849089687
7,True,4,0.5072376493005687
7,True,5,0.5515444436649007
7,True,6,0.5130900670638234
7,True,7,0.5591784806804572
7,True,8,0.5268704044849399
