n_sim,top_down,n_env,cor,n_active
1,True,1,0.9838747645635355,99
1,True,2,0.7571641541162084,124
1,True,3,0.3383292408745753,157
1,True,4,0.24370555539131394,153
1,True,5,0.1995263111400999,152
1,True,6,0.12360779419319502,139
1,True,7,0.06008381875000216,163
1,True,8,0.031049853349762912,172
1,True,9,0.0339018625618509,125
1,True,10,0.04362098215374773,169
1,True,11,0.03870093707313252,146
1,True,12,-0.0008780757791878494,181
1,True,13,0.002772712311920655,172
1,True,14,-0.0191344055360566,178
1,True,15,0.028975368641979485,182
1,True,16,0.04099094247946554,185
1,True,17,-0.025336268252144807,168
1,True,18,-0.0025828967798677263,146
1,True,19,-0.006897888602257085,154
1,True,20,0.02349149353651671,157
1,True,21,0.0012008213753536272,172
1,False,1,0.879936445689987,106
1,False,2,0.5900464620185525,118
1,False,3,0.3453794564083896,141
1,False,4,0.19882593600675333,130
1,False,5,0.12064602658508652,142
1,False,6,0.04216382785431092,167
1,False,7,0.2879641479044678,96
1,False,8,0.34341073351380497,128
1,False,9,0.21695220104321164,179
1,False,10,0.15159911565475775,167
1,False,11,0.13150835508424913,158
1,False,12,0.28664586536246317,142
1,False,13,0.3151134124906407,153
1,False,14,0.16029746246128615,156
1,False,15,0.3509926671204294,118
1,False,16,0.29070127523473643,124
1,False,17,0.1651260141589791,138
1,False,18,0.20572382894744518,130
1,False,19,0.2093178336536362,121
1,False,20,0.003998728010550609,176
1,False,21,0.015066341265688423,182
2,True,1,0.9828750189486587,99
2,True,2,0.664283164438405,95
2,True,3,0.40492260806101643,143
2,True,4,0.2551818555776603,153
2,True,5,0.08662515003443884,179
2,True,6,0.06387606264135438,178
2,True,7,0.045854138779645316,193
2,True,8,0.05092556826506223,172
2,True,9,0.044254334610481956,170
2,True,10,0.03336914530056461,176
2,True,11,-0.0021115052695297003,168
2,True,12,0.029979837049726548,185
2,True,13,0.028112405602230894,163
2,True,14,0.08708936691324076,113
2,True,15,0.011503113104409737,144
2,True,16,0.0326175064536999,165
