n_sim,top_down,n_env,cor,n_active
1,True,1,0.7643949973478843,186
1,True,2,0.48103716071257174,186
1,True,3,0.3803296322347385,188
1,True,4,0.3649730359318959,189
1,True,5,0.30960310118414985,188
1,True,6,0.29350081484235546,189
1,True,7,0.28742609248782525,188
1,True,8,0.2949393299600343,188
1,True,9,0.2502638986557737,191
1,True,10,0.24760742829601126,192
1,True,11,0.2198549855018587,192
1,True,12,0.20252668656452846,192
1,True,13,0.20578620508570003,191
1,True,14,0.21218470125831143,190
1,True,15,0.2085105277015375,190
1,True,16,0.20903791482066164,191
1,True,17,0.19275495016484917,191
1,True,18,0.18338561194980893,193
1,True,19,0.21760029225899263,193
1,True,20,0.19664208702467312,193
1,True,21,0.1622368017066636,191
1,False,1,0.8655243032656147,107
1,False,2,0.6314671539006482,110
1,False,3,0.49510255987980034,116
1,False,4,0.3243024697714667,131
1,False,5,0.2366508682518617,116
1,False,6,0.2690729523888731,91
1,False,7,0.11359941066315535,169
1,False,8,0.1618497230022261,176
1,False,9,0.20103389523249002,145
1,False,10,0.20195698547223276,157
1,False,11,0.21159738213233104,138
1,False,12,0.2310904029719265,141
1,False,13,0.23267979797338675,151
1,False,14,0.3463734114374533,146
1,False,15,0.16828786813804902,157
1,False,16,0.14688026845091104,186
1,False,17,0.11696362895513848,182
1,False,18,0.14884743178677481,146
1,False,19,0.24871797041131877,98
1,False,20,0.29302274399803796,109
1,False,21,0.22685294810484183,152
2,True,1,0.7727016425107526,192
2,True,2,0.4728345004354342,192
2,True,3,0.4160466127369743,191
2,True,4,0.40127849522528247,190
2,True,5,0.3624450152147076,191
2,True,6,0.3002037073619444,191
2,True,7,0.3125758407426198,191
2,True,8,0.2854477697118204,192
2,True,9,0.25219649853768233,195
2,True,10,0.19801107493596035,194
2,True,11,0.20196757952620023,195
2,True,12,0.18830639031153548,196
