n_sim,top_down,n_env,cor,n_active
1,True,1,0.8756862333972188,126
1,True,2,0.4984275286811895,157
1,True,3,0.4749802888319361,172
1,True,4,0.4465166602835767,154
1,True,5,0.41546116709343234,168
1,True,6,0.34702159270646765,179
1,True,7,0.32812916598486913,175
1,True,8,0.2677869612417955,182
1,True,9,0.27259448037749034,169
1,True,10,0.24975945329072977,153
1,True,11,0.21953498335861854,155
1,True,12,0.19179798239004284,167
1,True,13,0.14500876522266723,178
1,True,14,0.16017841245681078,177
1,True,15,0.11860308366599419,186
1,True,16,0.1269877639315673,183
1,True,17,0.11692125071131139,185
1,True,18,0.051750586144953634,188
1,True,19,0.06063180952331392,191
1,True,20,0.09572097367751518,193
1,True,21,0.06610403798375744,194
1,False,1,0.8625439475936183,107
1,False,2,0.6655549446427539,106
1,False,3,0.5518801439408276,110
1,False,4,0.014348743214676413,149
1,False,5,0.11802537896819201,170
1,False,6,0.4696368916595797,154
1,False,7,0.33584579074355786,158
1,False,8,0.35393290385139514,102
1,False,9,0.36673881364190786,113
1,False,10,0.3455147179342454,118
1,False,11,0.308399497323586,128
1,False,12,0.3246066328402134,169
1,False,13,0.2340610435339471,169
1,False,14,0.24938373718418388,155
1,False,15,0.24024059792831298,149
1,False,16,0.04047079659515556,175
1,False,17,0.07882404243135276,189
1,False,18,0.0792961951106503,187
1,False,19,-0.10195543722482711,193
1,False,20,0.16417170489424432,158
1,False,21,0.18742465081885173,171
2,True,1,0.8430315203348779,127
2,True,2,0.5097600999034584,156
2,True,3,0.4647528349292044,165
2,True,4,0.4379217952170349,181
2,True,5,0.3958898788150085,176
2,True,6,0.35601423310221214,173
2,True,7,0.2986040975022031,184
2,True,8,0.2598894886164644,190
2,True,9,0.26350412176172533,180
2,True,10,0.25259895461107773,188
2,True,11,0.22844480471230189,192
2,True,12,0.22552750908988428,194
2,True,13,0.18713082729538233,187
2,True,14,0.19074441591852545,188
2,True,15,0.1585449838829939,193
2,True,16,0.14247008437538763,194
2,True,17,0.11096727214589201,197
2,True,18,0.1384509051624098,196
2,True,19,0.11271516998617552,197
2,True,20,0.09880423411116188,197
2,True,21,0.08118362742344412,198
2,False,1,0.8397941455533082,97
2,False,2,0.6022855292215854,104
2,False,3,0.4702110172696236,122
2,False,4,0.40845035108659544,124
2,False,5,0.34504979866150254,141
2,False,6,0.23755627117491307,135
2,False,7,0.17496292825023704,147
2,False,8,0.2091114185973768,159
2,False,9,0.13325156842896652,136
2,False,10,0.17643739828844157,129
2,False,11,0.1498321348373835,192
2,False,12,0.05853222487331252,198
2,False,13,0.0019187666024885008,184
2,False,14,0.09413490783991409,200
2,False,15,0.21372158649984663,157
2,False,16,0.16040436888433346,172
2,False,17,0.06922691844484315,200
2,False,18,0.11628044264884294,187
2,False,19,0.2644640805540131,176
2,False,20,0.05012699358987233,198
2,False,21,0.12733386324589957,144
3,True,1,0.8598425430700913,123
3,True,2,0.5458075925578026,153
3,True,3,0.4779482911132878,168
3,True,4,0.42843340339443825,182
3,True,5,0.3864174454484046,177
3,True,6,0.3467431328058808,183
3,True,7,0.3225414495396354,174
3,True,8,0.2599173353443416,184
3,True,9,0.19923620798647992,190
3,True,10,0.22675756214424214,192
3,True,11,0.15681237350280255,193
3,True,12,0.1546133122877004,196
3,True,13,0.13474758136678266,185
3,True,14,0.10830097916454211,173
3,True,15,0.10868841779163516,176
3,True,16,0.10340629824048599,180
3,True,17,0.09852919120222975,171
3,True,18,0.11050697995762047,172
3,True,19,0.1132519655089328,174
3,True,20,0.08507775703886407,167
3,True,21,0.032171556420289,166
3,False,1,0.8339125857946114,99
3,False,2,0.6176259322264777,105
3,False,3,0.5970688244398233,91
3,False,4,0.5384247565526806,96
3,False,5,0.48539263632750707,107
3,False,6,0.16882250656342757,118
3,False,7,0.16341535952685857,126
3,False,8,0.3909648453138205,128
3,False,9,0.09586133836653433,125
3,False,10,0.07541789528059033,134
3,False,11,0.0667820790434207,153
3,False,12,0.27042395583697415,177
3,False,13,0.20272968699008562,149
3,False,14,0.1709310961550046,143
3,False,15,0.14659488481698343,183
3,False,16,0.03941075139877683,177
3,False,17,0.08928163584003897,192
3,False,18,0.08830380548948843,175
3,False,19,0.151992727453427,152
3,False,20,0.15708414421179145,158
3,False,21,0.15180272004327836,136
4,True,1,0.8338192791067819,130
4,True,2,0.528227776512897,155
4,True,3,0.4278773670435681,170
4,True,4,0.3979428872613261,176
4,True,5,0.3535047691372688,169
4,True,6,0.31752973484938696,170
4,True,7,0.28929780567633234,180
4,True,8,0.2727847437220256,186
4,True,9,0.20634224064986648,193
4,True,10,0.1978725949250724,191
4,True,11,0.15479607151241656,171
4,True,12,0.1711003416975726,167
4,True,13,0.14702751603774322,160
4,True,14,0.13988725420571876,157
4,True,15,0.15244675125530552,161
4,True,16,0.14565135044938063,170
4,True,17,0.11480221291713981,169
4,True,18,0.10086212149026995,177
4,True,19,0.05263518707080882,185
4,True,20,0.05765324355873158,179
4,True,21,0.030433167789121748,183
4,False,1,0.8238412062742088,103
4,False,2,0.685030539864954,106
4,False,3,0.6184554400416734,105
4,False,4,0.48617219579106763,139
4,False,5,0.4139037123606672,117
4,False,6,0.1614460484209107,136
4,False,7,0.45872958220226845,110
4,False,8,0.35614844419972325,114
4,False,9,0.3344103718323248,167
4,False,10,0.25400315587780187,185
4,False,11,0.2526694940633004,191
4,False,12,0.24282747179691777,186
4,False,13,0.029274555165463883,182
4,False,14,0.15479086049876972,195
4,False,15,0.16138560618031017,167
4,False,16,0.16170970397637288,190
4,False,17,0.13933512660807557,183
4,False,18,0.0731729890144816,195
4,False,19,0.2345121241848099,131
4,False,20,0.11005121294503153,137
4,False,21,0.22140742768931504,125
5,True,1,0.8974714600046408,130
5,True,2,0.5888569287866552,151
5,True,3,0.5463829993925877,143
5,True,4,0.4776323044227868,162
5,True,5,0.43911331771428624,178
5,True,6,0.4312838928086628,182
5,True,7,0.3734752380271963,173
5,True,8,0.307340317328715,187
5,True,9,0.2953690658745384,184
5,True,10,0.25782424810146404,185
5,True,11,0.2183435275133186,187
5,True,12,0.20019612843205617,182
5,True,13,0.159845142887249,188
5,True,14,0.1298018421581943,189
5,True,15,0.10369325055892803,181
5,True,16,0.11030146957924197,183
5,True,17,0.11267032404581372,181
5,True,18,0.09603790039451494,163
