N_patterns,N_iter,Mean_cos_mean,Mean_cos_std
1,1,0.9597725199789308,0.0
2,1,0.9332623821484318,0.0
3,1,0.8867083486692057,0.0
4,1,0.8028230558690244,0.0
5,1,0.8242819259531451,0.0
10,1,0.8067931358374368,0.0
20,1,0.7733134153630754,0.0
50,1,0.7165096033296733,0.0
100,1,0.6749151983054098,0.0
200,1,0.643917716210656,0.0
500,1,0.5577444743390785,0.0
N_patterns,N_iter,Mean_cos_mean,Mean_cos_std
1,1,0.958098494319641,0.0
2,1,0.9313346923401122,0.0
3,1,0.8958985168729973,0.0
4,1,0.8741665738844249,0.0
5,1,0.8130817245255335,0.0
10,1,0.7881914973282548,0.0
20,1,0.7682726990584667,0.0
50,1,0.7295816893937712,0.0
100,1,0.6883407406452244,0.0
200,1,0.6358822320675873,0.0
500,1,0.5728972417581369,0.0
